Core,,Name,1-99,100-499,500-999,1000-1999,2000-4999,,,,,,
M0M23,,NANO100NE3BN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SC2BN,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SD2BN,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SD3BN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100SE3BN,2.60,2.00,1.66,1.51,1.46,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102LB1AN,2.03,1.56,1.30,1.17,1.13,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102LC2AN,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102SC2AN,2.23,1.71,1.42,1.29,1.25,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO102ZB1AN,1.95,1.50,1.25,1.13,1.09,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO110KC2BN,3.03,2.32,1.94,1.75,1.69,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO110KE3BN,3.45,2.65,2.21,2.00,1.93,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO110SC2BN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO110SD2BN,2.60,2.00,1.66,1.51,1.46,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO110SE3BN,2.88,2.21,1.84,1.67,1.61,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO112LB1AN,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO112LC2AN,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO112RC2AN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO112SB1AN,2.23,1.71,1.42,1.29,1.25,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO112SC2AN,2.35,1.80,1.50,1.36,1.32,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO112VC2AN,2.73,2.09,1.74,1.58,1.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120KD3BN,3.18,2.44,2.03,1.84,1.78,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120KE3BN,3.30,2.53,2.11,1.91,1.85,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120LC2BN,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120LD2BN,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120LD3BN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120LE3BN,2.60,2.00,1.66,1.51,1.46,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120SC2BN,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO120SE3BN,2.73,2.09,1.74,1.58,1.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130KC2BN,3.03,2.32,1.94,1.75,1.69,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130KD2BN,3.18,2.44,2.03,1.84,1.78,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130KD3BN,3.30,2.53,2.11,1.91,1.85,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130KE3BN,3.45,2.65,2.21,2.00,1.93,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130SC2BN,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130SD2BN,2.60,2.00,1.66,1.51,1.46,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130SD3BN,2.73,2.09,1.74,1.58,1.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO130SE3BN,2.88,2.21,1.84,1.67,1.61,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NANO100LC2AN,2.08,1.59,1.33,1.20,1.16,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029FAE,1.00,0.77,0.64,0.58,0.56,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029KGE,3.18,2.44,2.03,1.84,1.78,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029LAN,1.50,1.15,0.96,0.87,0.84,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029LDE,2.03,1.56,1.30,1.17,1.13,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029LEE,2.30,1.77,1.47,1.33,1.29,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029LGE,2.60,2.00,1.66,1.51,1.46,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029NAN,1.88,1.44,1.20,1.09,1.05,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029SDE,2.15,1.65,1.38,1.25,1.20,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029SEE,2.45,1.88,1.57,1.42,1.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029SGE,2.73,2.09,1.74,1.58,1.53,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029TAN,1.30,1.00,0.83,0.75,0.73,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC029ZAN,1.45,1.11,0.93,0.84,0.81,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC100LC1DN,2.53,1.94,1.62,1.46,1.41,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC100LE3DN,3.95,3.03,2.53,2.29,2.21,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC100RC1DN,3.05,2.34,1.95,1.77,1.71,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC100RD1DN,3.45,2.65,2.21,2.00,1.93,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC100RD2DN,3.63,2.78,2.32,2.10,2.03,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC100RE3DN,4.23,3.24,2.70,2.45,2.37,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC100VE3DN,4.68,3.59,2.99,2.71,2.62,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC120LC1DN,3.03,2.32,1.94,1.75,1.69,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC120LD2DN,3.75,2.88,2.40,2.18,2.10,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,NUC120LE3DN,4.23,3.24,2.70,2.45,2.37,,76.80%,64.00%,58.00%,56.00%,0.00%
